NAMES,PRICES,RATINGS,IMAGES
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"POCO C75 5G (Silver Stardust, 64 GB)","₹7,299",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/b/b/-original-imahbr2czzcrgfx7.jpeg?q=70
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,447",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/w/r/a4-5g-24116rnc1i-redmi-original-imahbkamymkqzvsn.jpeg?q=70
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
"realme P4 5G (Engine Blue, 128 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/4/p/-original-imahf47e6gzt3ggw.jpeg?q=70
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)","₹17,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/k/e/-original-imahbfd4zqn9zazz.jpeg?q=70
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","₹12,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/y/-original-imahfw4vez79uubg.jpeg?q=70
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/k/e/-original-imahbfd4zqn9zazz.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹13,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/f/d/-original-imah7jsp9uzpjkyc.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/l/g/-original-imahgympttnkvw7t.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹25,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/t/-original-imahgqnzzc6cgggb.jpeg?q=70
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹14,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/w/h/-original-imahc7ezhz9qxm6d.jpeg?q=70
"POCO C75 5G (Aqua Bliss, 128 GB)","₹8,099",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70
"IQOO Neo 10 (Titanium Chrome, 512 GB)","₹42,990",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/d/e/-original-imahdjgufajggchq.jpeg?q=70
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹21,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/x/-original-imahgqnzzgfbyevh.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"Motorola g45 5G (Pantone Dahlia Purple, 128 GB)","₹11,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/o/e/-original-imahegy79yrrndka.jpeg?q=70
"POCO C71 (Power Black, 64 GB)","₹6,199",3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70
